ko_term,en_term,type,aliases,usage_note,status,source,last_context
본회의 각 기구,each board of the Council,Organization,,Use as the official name of a student society organization.,approved,imported,
"의장, 위원장",Chairman,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
연서,Joint Signature,General,,Use exactly as the approved glossary translation.,approved,imported,
업무,Task,General,,Use exactly as the approved glossary translation.,approved,imported,
안건,Item,General,,Use exactly as the approved glossary translation.,approved,imported,
재석 인원,attending member,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
재적 인원,enrolled member,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
참석인원,participating member,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
선거권을 가진,with voting rights,Election,,Use as an official student society election term.,approved,imported,
집행운영소위원회,Executive Operative Subcommittee,Organization,,Use as the official name of a student society organization.,approved,imported,
산하기구,subordinate board,Organization,,Use as the official name of a student society organization.,approved,imported,
채택,Adopt,General,,Use exactly as the approved glossary translation.,approved,imported,
상설기구,standing board,Organization,,Use as the official name of a student society organization.,approved,imported,
임시회,extraordinary session,General,,Use exactly as the approved glossary translation.,approved,imported,
정기회,ordinary session,General,,Use exactly as the approved glossary translation.,approved,imported,
발의,initiative,General,,Use exactly as the approved glossary translation.,approved,imported,
발의하다,initiative,General,,Use exactly as the approved glossary translation.,approved,imported,
에 상정하다,table in,General,,Use exactly as the approved glossary translation.,approved,imported,
건의하다,suggest,General,,Use exactly as the approved glossary translation.,approved,imported,
충분히,sufficiently,General,,Use exactly as the approved glossary translation.,approved,imported,
세부적,thorough,General,,Use exactly as the approved glossary translation.,approved,imported,
단체,Organization,Organization,,Use as the official name of a student society organization.,approved,imported,
속기록,Stenographic Record,General,,Use exactly as the approved glossary translation.,approved,imported,
"구성, 소속",affiliated,General,,Use exactly as the approved glossary translation.,approved,imported,
"구성v, 소속",affiliated,General,,Use exactly as the approved glossary translation.,approved,imported,
준비위원회,Preparatory Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
를 두다,set up,General,,Use exactly as the approved glossary translation.,approved,imported,
간부,executive member,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
탄핵안,impeachment motion,General,,Use exactly as the approved glossary translation.,approved,imported,
국장,Head of the Bureau,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
예산편성서,budget compilation report,Finance,,Use as an official student society finance or accounting term.,approved,imported,
발언하다,remark,General,,Use exactly as the approved glossary translation.,approved,imported,
자주,self- governing,General,,Use exactly as the approved glossary translation.,approved,imported,
자치,autonomous,General,,Use exactly as the approved glossary translation.,approved,imported,
자율,autonomous,General,,Use exactly as the approved glossary translation.,approved,imported,
자립,independent,General,,Use exactly as the approved glossary translation.,approved,imported,
위임하다,delegate,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
성립요건,establishment requirement,General,,Use exactly as the approved glossary translation.,approved,imported,
인준안,confirmation,General,,Use exactly as the approved glossary translation.,approved,imported,
심의서,review,General,,Use exactly as the approved glossary translation.,approved,imported,
상정,introduction,General,,Use exactly as the approved glossary translation.,approved,imported,
상정n,introduction,General,,Use exactly as the approved glossary translation.,approved,imported,
의결하다,Resolves,General,,Use exactly as the approved glossary translation.,approved,imported,
개정,amend,General,,Use exactly as the approved glossary translation.,approved,imported,
제정,legislate,General,,Use exactly as the approved glossary translation.,approved,imported,
폐지,repeal,General,,Use exactly as the approved glossary translation.,approved,imported,
학생회칙,KAIST UA Constitution,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
휴학,Leave of Absence,General,,Use exactly as the approved glossary translation.,approved,imported,
휴학생,students taking leave of absence,General,,Use exactly as the approved glossary translation.,approved,imported,
휴학하다,take a Leave of Absence,General,,Use exactly as the approved glossary translation.,approved,imported,
제적,Withdrawn,General,,Use exactly as the approved glossary translation.,approved,imported,
자체호선,Elect among themselves,General,,Use exactly as the approved glossary translation.,approved,imported,
학생회비,Student fee,Finance,,Use as an official student society finance or accounting term.,approved,imported,
과비,Department fee,Finance,,Use as an official student society finance or accounting term.,approved,imported,
과학생회비,Department fee,Finance,,Use as an official student society finance or accounting term.,approved,imported,
비상대책위원회,Emergency Response Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
융합기초학부,School of Transdisciplinary Studies,Organization,,Use as the official name of a student society organization.,approved,imported,
학생 생활팀,KAIST Students Affairs Team.,Organization,,Use as the official name of a student society organization.,approved,imported,
의무,duty,General,,Use exactly as the approved glossary translation.,approved,imported,
보장,guarantee,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
학교 당국,the university,General,,Use exactly as the approved glossary translation.,approved,imported,
협의,discuss,General,,Use exactly as the approved glossary translation.,approved,imported,
협상,negotiate,General,,Use exactly as the approved glossary translation.,approved,imported,
적절한 절차를 거쳐,through proper procedures,General,,Use exactly as the approved glossary translation.,approved,imported,
통해,through proper procedures,General,,Use exactly as the approved glossary translation.,approved,imported,
표명,state,General,,Use exactly as the approved glossary translation.,approved,imported,
개진,express,General,,Use exactly as the approved glossary translation.,approved,imported,
구성,organization,General,,Use exactly as the approved glossary translation.,approved,imported,
구성하다,organize,General,,Use exactly as the approved glossary translation.,approved,imported,
형식,formality,General,,Use exactly as the approved glossary translation.,approved,imported,
종류,type,General,,Use exactly as the approved glossary translation.,approved,imported,
권한,powers,General,,Use exactly as the approved glossary translation.,approved,imported,
소집,convention,General,,Use exactly as the approved glossary translation.,approved,imported,
정족수,quorum,General,,Use exactly as the approved glossary translation.,approved,imported,
개회,opening of,General,,Use exactly as the approved glossary translation.,approved,imported,
폐회,closing of,General,,Use exactly as the approved glossary translation.,approved,imported,
투표권,voting rights,Election,,Use as an official student society election term.,approved,imported,
정책,policy,General,,Use exactly as the approved glossary translation.,approved,imported,
의결권,voting rights,General,,Use exactly as the approved glossary translation.,approved,imported,
적극 노력,must strive for,General,,Use exactly as the approved glossary translation.,approved,imported,
우려될 때,When there is genuine concern for,General,,Use exactly as the approved glossary translation.,approved,imported,
열람,take a look at,General,,Use exactly as the approved glossary translation.,approved,imported,
의사결정,decision-making,General,,Use exactly as the approved glossary translation.,approved,imported,
의사,proceedings,General,,Use exactly as the approved glossary translation.,approved,imported,
관한 세부사항은,Other specifics regarding,General,,Use exactly as the approved glossary translation.,approved,imported,
효력,effect,General,,Use exactly as the approved glossary translation.,approved,imported,
후임,successive,General,,Use exactly as the approved glossary translation.,approved,imported,
선출,elected,General,,Use exactly as the approved glossary translation.,approved,imported,
자치규칙,autonomous regulations,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
명부,roll,General,,Use exactly as the approved glossary translation.,approved,imported,
상시,at all times,General,,Use exactly as the approved glossary translation.,approved,imported,
준수,abide by,General,,Use exactly as the approved glossary translation.,approved,imported,
수렴,collect,General,,Use exactly as the approved glossary translation.,approved,imported,
양심에 따라,with a matter of conscience,General,,Use exactly as the approved glossary translation.,approved,imported,
징계,disciplinary action,General,,Use exactly as the approved glossary translation.,approved,imported,
제명,expulsion,General,,Use exactly as the approved glossary translation.,approved,imported,
피선거,eligible for election,Election,,Use as an official student society election term.,approved,imported,
피선거권,eligible for election,Election,,Use as an official student society election term.,approved,imported,
출석정지,suspension of attendance,General,,Use exactly as the approved glossary translation.,approved,imported,
자격정지,suspension of title,General,,Use exactly as the approved glossary translation.,approved,imported,
사업,program,General,,Use exactly as the approved glossary translation.,approved,imported,
권고,advise,General,,Use exactly as the approved glossary translation.,approved,imported,
해임,dismissal,General,,Use exactly as the approved glossary translation.,approved,imported,
결과공고,announcement of results,General,,Use exactly as the approved glossary translation.,approved,imported,
불가피한 경우,circumstances beyond control,General,,Use exactly as the approved glossary translation.,approved,imported,
상황,for circumstances beyond control,General,,Use exactly as the approved glossary translation.,approved,imported,
를 위하여,for the sake of,General,,Use exactly as the approved glossary translation.,approved,imported,
대리,proxy,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
새내기학생회,Freshmen Student Association,Organization,,Use as the official name of a student society organization.,approved,imported,
문화자치위원회,Culture Autonomous Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
소통국제화위원회,Communication Globalization Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
학생,Student & Minority Human Rights Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
소수자인권위원회,Student & Minority Human Rights Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
집행조정위원회,Executive Adjustment Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
학생문화공간위원회,Student culture space committee.,Organization,,Use as the official name of a student society organization.,approved,imported,
규정집,rulebook,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
중앙총회기획단,Central General Assembly Planning Team,Organization,,Use as the official name of a student society organization.,approved,imported,
의사조정위원회,Agenda Mediation Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
비상학생총회,Emergency Students’ Assembly,Organization,,Use as the official name of a student society organization.,approved,imported,
정책투표,policy Vote,Election,,Use as an official student society election term.,approved,imported,
의결,legislative rights,General,,Use exactly as the approved glossary translation.,approved,imported,
방청권,admission ticket,Academic,,Use as the official student society academic term.,approved,imported,
희의록,minutes of meeting,General,,Use exactly as the approved glossary translation.,approved,imported,
의장,chairman,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
발언,take the floor,General,,Use exactly as the approved glossary translation.,approved,imported,
발언권,take the floor,General,,Use exactly as the approved glossary translation.,approved,imported,
대리인,proxy,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
서기,clerk,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
공고,official announcement,General,,Use exactly as the approved glossary translation.,approved,imported,
회칙개정소위원회,Constitution Amendment Subcommittee,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
재정소위원회,Finance Subcommittee,Finance,,Use as an official student society finance or accounting term.,approved,imported,
전문,Specialized and Special Board Subcommittee,Organization,,Use as the official name of a student society organization.,approved,imported,
특별기구소위원회,Specialized and Special Board Subcommittee,Organization,,Use as the official name of a student society organization.,approved,imported,
집행기구소위원회,Executive Board Subcommittee,Organization,,Use as the official name of a student society organization.,approved,imported,
자치기구소위원회,Autonomous Board Subcommittee,Organization,,Use as the official name of a student society organization.,approved,imported,
대외협력소위원회,External Cooperation Subcommittee,Organization,,Use as the official name of a student society organization.,approved,imported,
서면의결,written resolution,General,,Use exactly as the approved glossary translation.,approved,imported,
가결,passed,General,,Use exactly as the approved glossary translation.,approved,imported,
부결,rejected,General,,Use exactly as the approved glossary translation.,approved,imported,
찬반투표,cross-voting,Election,,Use as an official student society election term.,approved,imported,
찬성,votes for,Election,,Use as an official student society election term.,approved,imported,
반대,votes against,Election,,Use as an official student society election term.,approved,imported,
기권,abstain,General,,Use exactly as the approved glossary translation.,approved,imported,
유회,adjournment,General,,Use exactly as the approved glossary translation.,approved,imported,
휴회,recess,General,,Use exactly as the approved glossary translation.,approved,imported,
의결 정족수,quorum for resolution,General,,Use exactly as the approved glossary translation.,approved,imported,
학생복지위원회,Student Welfare Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
행사준비위원회 상상효과,Event Preparation Committee “Imagination Effect”,Organization,,Use as the official name of a student society organization.,approved,imported,
학부·학과 학생회,Department,Organization,,Use as the official name of a student society organization.,approved,imported,
학생회장,president,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
부학생회장,vice president,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
학생회장단,Office of the President,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
부과대표,vice representative,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
19학번,class representative,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
2학년 과대표,class representative,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
과대표단,department delegation,Organization,,Use as the official name of a student society organization.,approved,imported,
집행위원회,executive committee,Organization,,Use as the official name of a student society organization.,approved,imported,
집행부,executive committee,Organization,,Use as the official name of a student society organization.,approved,imported,
집행위원,executive member,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
학생·소수자인권위원회,Human Rights Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
보통·평등·직접·비밀,"universal, equal, direct, secret",General,,Use exactly as the approved glossary translation.,approved,imported,
선거권,Suffrage,Election,,Use as an official student society election term.,approved,imported,
정후보,Candidate,Election,,Use as an official student society election term.,approved,imported,
부후보,Running mate,Election,,Use as an official student society election term.,approved,imported,
선거위탁,Entrust an election,Election,,Use as an official student society election term.,approved,imported,
선거운동,Election Campaign,Election,,Use as an official student society election term.,approved,imported,
선거운동본부,Election Campaign Headquarters,Election,,Use as an official student society election term.,approved,imported,
보궐선거,By-election,Election,,Use as an official student society election term.,approved,imported,
선거인명부,Electoral roll,Election,,Use as an official student society election term.,approved,imported,
기호,Candidate number,General,,Use exactly as the approved glossary translation.,approved,imported,
추천인명부,List of recommenders,General,,Use exactly as the approved glossary translation.,approved,imported,
이의,objection,General,,Use exactly as the approved glossary translation.,approved,imported,
이의제기,Claim an objection,General,,Use exactly as the approved glossary translation.,approved,imported,
후보등록,Candidate Registration,Election,,Use as an official student society election term.,approved,imported,
예비후보등록,Preliminary Candidate Registration,Election,,Use as an official student society election term.,approved,imported,
추천인서명,recommender's singature,General,,Use exactly as the approved glossary translation.,approved,imported,
유세,electioneering,Election,,Use as an official student society election term.,approved,imported,
개인유세,individual electioneering,Election,,Use as an official student society election term.,approved,imported,
합동유세,joint electioneering,Election,,Use as an official student society election term.,approved,imported,
후보자토론회,candidate debate,Election,,Use as an official student society election term.,approved,imported,
정책공동자료집,policy compilation,General,,Use exactly as the approved glossary translation.,approved,imported,
선전물,campaign advertisement,Election,,Use as an official student society election term.,approved,imported,
선전활동,Campaign Advertising,Election,,Use as an official student society election term.,approved,imported,
부정선거운동,Illicit campaigning,Election,,Use as an official student society election term.,approved,imported,
선거실무,election worker,Election,,Use as an official student society election term.,approved,imported,
투표관리책임자,voting management officer,Election,,Use as an official student society election term.,approved,imported,
경고,warning,General,,Use exactly as the approved glossary translation.,approved,imported,
주의,caution,General,,Use exactly as the approved glossary translation.,approved,imported,
시정명령,corrective order,General,,Use exactly as the approved glossary translation.,approved,imported,
후보 자격 박탈,candidate disqualification,Election,,Use as an official student society election term.,approved,imported,
개표,vote count,Election,,Use as an official student society election term.,approved,imported,
투표율,turnout,Election,,Use as an official student society election term.,approved,imported,
특표율,vote percentage,Election,,Use as an official student society election term.,approved,imported,
중복투표수,number of multiple votes,Election,,Use as an official student society election term.,approved,imported,
대리투표수,number of proxy votes,Election,,Use as an official student society election term.,approved,imported,
가 투표수,calculated turnout,Election,,Use as an official student society election term.,approved,imported,
가 투표율,calculated turnout percentage,Election,,Use as an official student society election term.,approved,imported,
실 투표수,actual turnout,Election,,Use as an official student society election term.,approved,imported,
실 투표율,actual turnout percentage,Election,,Use as an official student society election term.,approved,imported,
오차,error,General,,Use exactly as the approved glossary translation.,approved,imported,
오차율,error rate,General,,Use exactly as the approved glossary translation.,approved,imported,
우표소,polling station,Election,,Use as an official student society election term.,approved,imported,
사전투표,early voting,Election,,Use as an official student society election term.,approved,imported,
선거보고서,election report,Election,,Use as an official student society election term.,approved,imported,
당선 공고,election result announcement,Election,,Use as an official student society election term.,approved,imported,
재선거,re-election,Election,,Use as an official student society election term.,approved,imported,
재투표,revote,Election,,Use as an official student society election term.,approved,imported,
결선투표,runoff vote,Election,,Use as an official student society election term.,approved,imported,
학생상벌위원회,Disciplinary Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
교과과정심의회,Curriculum & Academic committee,Organization,,Use as the official name of a student society organization.,approved,imported,
학사연구심의위원회,Academic & Research Deliberations Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
평의원회,KAIST Council,Organization,,Use as the official name of a student society organization.,approved,imported,
등록금심의위원회,Tuition Deliberation Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
학생생활위원회,Committee of Student Life,Organization,,Use as the official name of a student society organization.,approved,imported,
학칙,Regulations of the Korea Advanced Institute of Science and Technology,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
원규,Regulations,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
지침,Guidelines,General,,Use exactly as the approved glossary translation.,approved,imported,
기준,Guidelines,General,,Use exactly as the approved glossary translation.,approved,imported,
입주업체모니터링위원회,Welfare Facilities Monitoring Committee,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
인수인계위원회,Transition Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
회장,President,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
부회장,Vice President,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
위원장,Chairman,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
부위원장,Vice Chairman,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
국원,executive member,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
팀장,secretary,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
실장,secretary,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
단장,leader,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
부단장,vice leader,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
반장,class president,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
부반장,class vice president,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
위원,committee member,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
총장,president,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
부총장,Senior Leadership Team,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
연구부총장,Vice President for R&DB,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
대외부총장,Vice President of Planning and Budget,Finance,,Use as an official student society finance or accounting term.,approved,imported,
교학부총장,Provost and Executive Vice President,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
학처장단,University Administration,Organization,,Use as the official name of a student society organization.,approved,imported,
이사장,Chairman of Board of Trustees,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
감사,Auditor,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
학장,Dean,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
원장,Dean,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
처장,Associate Vice President,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
KAIST 교육원,KAIST Academy,Organization,,Use as the official name of a student society organization.,approved,imported,
학생문화원,Associate vice President,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
인권윤리센터장,Director,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
글로벌리더십센터장,Associate Vice President,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
KAIST 연구원장,Dean,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
연구처장,Associate Vice President,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
기술가치창출원장,Associate Vice President,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
KAIST 창업원장,Director,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
이사회,Board of Trustees,Organization,,Use as the official name of a student society organization.,approved,imported,
이사,board,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
학과장,head professor,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
학부장,head professor,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
교학팀,Academic & Student Affairs Team,Organization,,Use as the official name of a student society organization.,approved,imported,
행정팀,Administration Team,Organization,,Use as the official name of a student society organization.,approved,imported,
교무처,Office of Academic Affairs,Organization,,Use as the official name of a student society organization.,approved,imported,
입학처,Office of Admissions,Organization,,Use as the official name of a student society organization.,approved,imported,
학생정책처,Office of Students Affair&Policy,Organization,,Use as the official name of a student society organization.,approved,imported,
학생생활처,Office of Student Life,Organization,,Use as the official name of a student society organization.,approved,imported,
행정처,Office of Administration,Organization,,Use as the official name of a student society organization.,approved,imported,
기획처,Office of Planning and Budget,Finance,,Use as an official student society finance or accounting term.,approved,imported,
총무팀,General Affairs team,Organization,,Use as the official name of a student society organization.,approved,imported,
학생지원팀,Student Services Team,Organization,,Use as the official name of a student society organization.,approved,imported,
장학복지팀,Office of Scholarship & Welfare,Organization,,Use as the official name of a student society organization.,approved,imported,
학생생활팀,Student Life Team,Organization,,Use as the official name of a student society organization.,approved,imported,
학적팀,Academic Registrar's Team,Organization,,Use as the official name of a student society organization.,approved,imported,
국제협력처,International Office,Organization,,Use as the official name of a student society organization.,approved,imported,
자연과학대,College of Natural Sciences,Organization,,Use as the official name of a student society organization.,approved,imported,
생명과학기술대,College of Life Science and Bioengineering,Organization,,Use as the official name of a student society organization.,approved,imported,
공과대,College of Engineering,Organization,,Use as the official name of a student society organization.,approved,imported,
인문사회과학대,College of Liberal Arts and Convergence Science,Organization,,Use as the official name of a student society organization.,approved,imported,
경영대,College of Business,Organization,,Use as the official name of a student society organization.,approved,imported,
자산,assets,Finance,,Use as an official student society finance or accounting term.,approved,imported,
비품,inventory,Finance,,Use as an official student society finance or accounting term.,approved,imported,
소모품,consumables,General,,Use exactly as the approved glossary translation.,approved,imported,
고정자산,fixed asset,Finance,,Use as an official student society finance or accounting term.,approved,imported,
보유 자산,holding asset,Finance,,Use as an official student society finance or accounting term.,approved,imported,
수입,income,Finance,,Use as an official student society finance or accounting term.,approved,imported,
학생회비 학생,student,Organization,,Use as the official name of a student society organization.,approved,imported,
학교지원금,institute,Organization,,Use as the official name of a student society organization.,approved,imported,
학교지원금 본회계,institute,Finance,,Use as an official student society finance or accounting term.,approved,imported,
수익사업 수입,autonomous,Finance,,Use as an official student society finance or accounting term.,approved,imported,
수익사업 수입 자치,autonomous,Finance,,Use as an official student society finance or accounting term.,approved,imported,
후원,sponsorship,Organization,,Use as the official name of a student society organization.,approved,imported,
지출,expenses,Finance,,Use as an official student society finance or accounting term.,approved,imported,
집행,execution,General,,Use exactly as the approved glossary translation.,approved,imported,
선집행,antecedent execution,General,,Use exactly as the approved glossary translation.,approved,imported,
사후승인,ex post facto approval,General,,Use exactly as the approved glossary translation.,approved,imported,
재정운용세칙,Finance Operation Bylaws,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
재정운용,finance operation,Finance,,Use as an official student society finance or accounting term.,approved,imported,
영수증,receipt,Finance,,Use as an official student society finance or accounting term.,approved,imported,
